missionCode,missionName,regionCode
PAK,U.S. Mission to Pakistan,SCA
PAN,U.S. Mission to Panama,WHA
PER,U.S. Mission to Peru,WHA
PHL,U.S. Mission to Philippines,EAP
PLW,U.S. Mission to Palau,EAP
PNG,U.S. Mission to Papua New Guinea,EAP
POL,U.S. Mission to Poland,EUR
PRK,"U.S. Mission to (North) Korea, Democratic People's Republic of",EAP
PRT,U.S. Mission to Portugal,EUR
PRY,U.S. Mission to Paraguay,WHA
QAT,U.S. Mission to Qatar,NEA
ROU,U.S. Mission to Romania,EUR
RUS,U.S. Mission to Russia,EUR
RWA,U.S. Mission to Rwanda,AF
SAU,U.S. Mission to Saudi Arabia,NEA
SDN,U.S. Mission to Sudan,AF
SEN,U.S. Mission to Senegal,AF
SGP,U.S. Mission to Singapore,EAP
SLE,U.S. Mission to Sierra Leone,AF
SLV,U.S. Mission to El Salvador,WHA
SMR,U.S. Mission to San Marino,EUR
SOM,U.S. Mission to Somalia,AF
SRB,U.S. Mission to Serbia,EUR
SSD,U.S. Mission to South Sudan,AF
STP,U.S. Mission to Sao Tome and Principe,AF
SUR,U.S. Mission to Suriname,WHA
SVK,U.S. Mission to Slovakia,EUR
SVN,U.S. Mission to Slovenia,EUR
SWE,U.S. Mission to Sweden,EUR
SWZ,U.S. Mission to Swaziland,AF
SYC,U.S. Mission to Seychelles,AF
SYR,U.S. Mission to Syrian Arab Republic,NEA
TCD,U.S. Mission to Chad,AF
TEST,Mission for Testing,IO
TGO,U.S. Mission to Togo,AF
THA,U.S. Mission to Thailand,EAP
TJK,U.S. Mission to Tajikistan,SCA
TKM,U.S. Mission to Turkmenistan,SCA
TLS,U.S. Mission to Timor-Leste,EAP
TTO,U.S. Mission to Trinidad and Tobago,WHA
TUN,U.S. Mission to Tunisia,NEA
TUR,U.S. Mission to Turkey,EUR
TWN,U.S. Mission to Taiwan,EAP
TZA,"U.S. Mission to Tanzania, United Republic of",AF
UGA,U.S. Mission to Uganda,AF
UKR,U.S. Mission to Ukraine,EUR
UNES,U.S. Mission to UNESCO (USUNESCO),IO
UNGE,"U.S. Mission to the European Office of the United Nations, Geneva (USUN Geneva)",IO
UNNY,U.S. Mission to the United Nations (USUN NY),IO
UNRO,U.S. Mission to the UN Agencies in Rome (USUN Rome),IO
UNVI,U.S. Mission to International Organizations in Vienna (UNVIE),IO
URY,U.S. Mission to Uruguay,WHA
USAU,U.S. Mission to the African Union (USAU),AF
USEU,U.S. Mission to the European Union (USEU),EUR
UZB,U.S. Mission to Uzbekistan,SCA
VAT,U.S. Mission to Holy See (Vatican City State),EUR
VCT,U.S. Mission to Saint Vincent and the Grenadines,WHA
VEN,U.S. Mission to Venezuela,WHA
VNM,U.S. Mission to Vietnam,EAP
WSM,U.S. Mission to Samoa,EAP
XFPC,Foreign Press Centers,IO
XIO,U.S. Mission to International,IO
YEM,U.S. Mission to Yemen,NEA
ZAF,U.S. Mission to South Africa,AF
ZMB,U.S. Mission to Zambia,AF
ZWE,U.S. Mission to Zimbabwe,AF
